time,double_support,RT_single_support,LT_single_support,Pelvis_A_X,Pelvis_A_Y,Pelvis_A_Z,Lower spine_A_X,Lower spine_A_Y,Lower spine_A_Z,Upper spine_A_X,Upper spine_A_Y,Upper spine_A_Z,Pelvis_Gyro_X,Pelvis_Gyro_Y,Pelvis_Gyro_Z,Lower spine_Gyro_X,Lower spine_Gyro_Y,Lower spine_Gyro_Z,Upper spine_Gyro_X,Upper spine_Gyro_Y,Upper spine_Gyro_Z
0.05,1,0,0,9.7683427734375,-0.0944213279681217,0.909796630859375,9.80665,0.08589198455933131,-0.148515321687131,9.179369165529396,0.11948562663741549,3.45004459203999,-1.91796875,0.8266601563,0.1881103516,-0.8969726563,0.931640625,-0.09167480469,-0.1685791016,1.043945313,-0.1318359375
0.055,1,0,0,9.78270798388877,-0.0729483318331922,0.9337386474609375,9.81622681154395,0.06273556537183811,-0.16415245130914,9.16979235888877,0.1348234810335175,3.459621398680615,-1.83984375,0.7958984375,0.1124267578,-0.7280273438,0.8657226563,-0.07879638672,-0.1990966797,1.051757813,-0.03994750977
0.06,1,0,0,9.753977563966895,-0.10018237574321201,0.9115922821167505,9.835380424825201,0.05446808777100635,-0.1479167713333835,9.174580761718751,0.13669395104833648,3.459621398680615,-1.83203125,0.7661132813,0.1583251953,-0.6865234375,1.04296875,-0.09399414063,-0.1154174805,1.053710938,0.04385375977
0.065,1,0,0,9.777919580078125,-0.08746317939727656,0.9343371979127515,9.82580361328125,0.05738602103727325,-0.1418564483519995,9.165003955078125,0.1366191321928265,3.4620156010762697,-1.806640625,0.3410644531,0.1641845703,-0.544921875,1.137695313,-0.06628417969,-0.09069824219,0.8002929688,-0.09216308594
0.07,1,0,0,9.777919580078125,-0.0960673416125437,0.925358941625874,9.81622681154395,0.042609307675036893,-0.12494739916698551,9.16979235888877,0.127191963165155,3.457227197265625,-2.025390625,0.4587402344,-0.01425170898,-0.326171875,1.002929688,-0.1123046875,-0.02313232422,0.9682617188,-0.1624755859
0.075,1,0,0,9.74918916015625,-0.094122052761828,0.919971987951814,9.81622681154395,0.051437926290121,-0.125097036779939,9.193734375,0.1149964984449435,3.4739866091318854,-1.870117188,0.4311523438,0.07879638672,-0.4733886719,1.0234375,-0.0559387207,0.03179931641,0.7387695313,-0.1156616211
0.08,1,0,0,9.758765966796876,-0.08177695045808295,0.910395181311189,9.81622681154395,0.06198737735610385,-0.12689268803731452,9.179369165529396,0.105644148272782,3.46680400390625,-1.82421875,0.6762695313,-0.2149658203,-0.2712402344,1.233398438,-0.09552001953,-0.01477813721,0.861328125,-0.1235351563
0.085,1,0,0,9.773131177248146,-0.07653963431852324,0.9247603912721265,9.82580361328125,0.0476595767935014,-0.128389064068783,9.179369165529396,0.10182838938763401,3.46919820532124,-1.830078125,0.6787109375,0.006656646729,-0.2380371094,1.294921875,0.02027893066,-0.04620361328,0.9912109375,-0.1394042969
0.09,1,0,0,9.777919580078125,-0.109160631932023,0.9487024078736891,9.82580361328125,0.052971711729731204,-0.12704232555220152,9.184157568359375,0.0906803878796438,3.4739866091318854,-1.688476563,0.5278320313,0.124206543,-0.3354492188,1.208984375,-0.2197265625,0.3190917969,1.084960938,-0.1115722656
0.095,1,0,0,9.758765966796876,-0.109759182383837,0.954687911999563,9.82580361328125,0.05386953735841895,-0.11813888812083399,9.174580761718751,0.09150339470185481,3.46680400390625,-1.080078125,0.7138671875,-0.02809143066,-0.3400878906,1.254882813,-0.3422851563,0.294921875,1.298828125,-0.03634643555
