start,end
0.0,3.99
3.99,5.205
5.205,6.335
6.335,7.435
7.435,8.545
8.545,10.21
10.21,11.34
11.34,12.42
12.42,13.525
13.525,14.645
14.645,15.775
15.775,17.15
17.15,18.195
18.195,20.905
20.905,22.0
22.0,23.095
23.095,24.2
24.2,25.29
25.29,26.355
26.355,27.44
27.44,28.525
28.525,29.65
29.65,30.745
30.745,31.87
31.87,32.825
32.825,35.01
35.01,
